Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
  Transportation,"1,251,212","1,257,866","1,281,217","1,288,769","1,289,008","1,286,105","1,293,463","1,295,352","1,292,406","1,283,353","1,299,306","1,292,704","1,296,965","1,315,468","1,300,556","1,304,939","1,306,343","1,314,528","1,325,406","1,325,014","1,351,144","1,340,470","1,337,909","1,363,146","1,336,521","1,340,321","1,344,981","1,341,838","1,350,450","1,362,198","1,366,864","1,360,144","1,391,287","1,400,684","1,394,765","1,411,526","1,416,884","1,393,316","1,416,052","1,406,955","1,416,870","1,408,172","1,407,121","1,409,438","1,394,620","1,405,419","1,410,213","1,402,165","1,384,748","1,375,143","1,411,773","1,407,932","1,409,885","1,418,155","1,411,675","1,421,027","1,426,555","1,421,118","1,427,537","1,419,228","1,433,933","1,418,137","1,117,589","880,787","1,141,695","1,236,108","1,290,861","1,310,250","1,340,863"
  Communication,"284,382","283,613","285,239","289,898","292,482","294,722","293,191","294,220","296,502","298,094","301,150","305,517","309,639","313,172","313,678","312,166","312,852","314,922","319,151","322,371","323,571","325,319","325,125","325,816","325,652","326,945","331,644","338,049","341,536","342,266","341,064","341,190","342,049","344,354","346,249","345,280","343,898","345,117","346,887","350,827","353,518","355,669","356,588","359,193","361,275","363,861","367,434","369,228","374,477","376,759","378,246","378,161","378,612","378,985","379,736","380,821","382,362","384,482","386,286","388,430","388,796","388,773","389,728","373,986","379,839","390,313","395,200","396,288","396,007"
  Recreation,"1,061,139","1,057,331","1,058,825","1,065,291","1,069,495","1,070,510","1,073,317","1,078,243","1,086,191","1,092,385","1,097,588","1,117,978","1,113,419","1,123,701","1,123,507","1,122,048","1,129,384","1,141,140","1,148,603","1,148,261","1,153,415","1,162,524","1,161,714","1,171,574","1,175,879","1,179,923","1,195,482","1,201,718","1,196,967","1,202,053","1,203,897","1,204,841","1,209,100","1,203,442","1,226,945","1,240,236","1,242,134","1,263,175","1,260,884","1,264,471","1,267,164","1,269,593","1,271,382","1,283,380","1,290,950","1,297,741","1,310,763","1,266,671","1,305,628","1,316,140","1,329,253","1,339,438","1,351,214","1,362,346","1,364,473","1,366,995","1,367,101","1,375,249","1,373,038","1,374,353","1,393,544","1,388,978","1,205,804","961,867","1,126,813","1,293,163","1,300,333","1,308,320","1,357,397"
  Education,"244,097","244,393","244,607","245,055","245,052","245,066","245,167","245,478","245,485","245,870","245,909","246,239","245,714","245,865","246,411","247,892","248,780","249,093","248,279","247,793","247,346","247,652","247,788","248,245","248,496","248,647","248,654","249,032","248,787","248,592","248,774","249,120","249,631","249,313","249,357","249,794","250,198","250,589","250,651","250,608","250,202","250,515","250,704","251,061","251,239","251,472","251,760","251,635","252,127","252,722","252,539","252,313","252,667","253,409","254,720","255,500","256,728","257,240","257,537","258,087","257,190","257,099","252,085","221,790","223,308","229,479","230,671","235,548","232,181"
  Food services and accommodations,"761,245","760,685","764,034","770,512","772,896","774,513","772,783","776,724","775,580","778,940","779,847","790,837","779,359","790,835","788,736","791,583","788,613","786,306","788,004","790,038","794,919","792,317","803,638","788,874","810,131","807,888","809,632","806,807","807,002","804,604","808,749","807,723","810,864","809,028","816,671","818,826","820,217","823,249","825,885","820,329","829,029","839,557","846,122","845,381","834,458","839,720","835,119","832,256","829,155","833,445","835,580","836,343","842,151","847,534","848,923","845,630","846,690","847,356","841,821","851,715","851,816","844,972","616,095","400,895","509,478","632,037","653,471","693,058","699,799"
  Financial services and insurance,"831,154","836,302","839,702","841,904","842,040","840,137","837,023","837,950","834,156","840,850","836,732","835,031","828,573","825,358","818,107","816,012","815,617","817,081","818,350","819,040","823,070","819,596","824,475","825,548","829,726","834,588","837,891","836,177","835,535","836,319","840,227","841,197","841,856","838,815","841,909","841,734","839,601","840,243","835,938","836,396","836,847","838,809","839,593","842,109","840,546","844,355","844,552","844,100","853,839","852,267","855,231","852,196","854,051","854,820","854,013","859,755","860,940","865,122","867,124","865,099","861,128","861,605","861,349","852,925","855,367","868,663","868,688","869,328","871,662"
  Other goods and services,"755,177","755,516","758,054","762,029","765,586","767,318","768,262","768,436","764,227","759,163","760,991","763,746","763,556","767,902","768,608","765,000","762,686","765,331","767,177","768,187","770,429","770,290","772,690","774,354","775,860","775,960","779,382","777,007","777,849","778,517","778,604","780,612","784,218","788,114","793,909","791,965","788,070","785,756","786,847","797,367","805,284","807,171","803,807","802,775","800,371","803,333","807,160","799,348","808,237","810,187","809,696","803,902","802,892","802,965","809,997","814,521","817,780","816,352","815,478","820,418","819,021","814,613","713,479","573,852","641,199","703,500","725,339","733,544","740,658"
  Net foreign travel and expenditures abroad by U.S. residents,"-46,163","-46,173","-47,096","-43,283","-46,439","-51,938","-43,646","-43,104","-40,635","-33,264","-36,769","-39,968","-38,497","-33,245","-36,130","-30,371","-32,999","-32,197","-30,785","-32,472","-34,912","-32,795","-33,079","-24,030","-16,275","-15,384","-13,774","-19,894","-22,261","-23,712","-21,132","-19,618","-23,168","-21,151","-22,015","-16,348","-20,320","-18,089","-14,234","-4,742","-7,018","-6,047","-3,462","-1,184","-3,044","1,807","1,764","3,385","7,543","8,218","10,222","15,422","10,538","22,413","17,563","16,893","17,621","22,110","19,516","15,220","28,717","13,499","-10,656","-26,098","-28,425","-26,745","-20,178","-14,011","-13,572"
Final consumption expenditures of nonprofit institutions serving households (NPISHs)\1\,"336,086","331,977","331,032","332,306","330,495","331,470","336,820","338,668","343,029","346,029","351,346","351,349","351,354","348,823","348,731","343,740","345,740","350,253","356,423","358,815","361,440","358,023","358,948","360,252","362,848","360,641","363,610","356,393","355,843","355,622","352,103","349,944","346,439","348,804","348,140","349,414","352,093","356,245","358,698","363,795","362,350","361,344","360,695","361,021","366,512","378,052","381,335","377,302","365,229","356,564","352,919","352,581","354,709","354,100","355,907","354,549","352,339","348,774","351,555","348,205","360,650","368,957","510,872","573,859","450,265","376,902","362,574","366,527","361,339"
  Gross output of nonprofit institutions\2\,"1,294,745","1,292,938","1,292,235","1,292,054","1,290,732","1,291,316","1,295,261","1,295,121","1,298,969","1,306,867","1,313,234","1,317,019","1,321,746","1,326,582","1,333,296","1,339,472","1,345,391","1,349,635","1,350,374","1,352,917","1,359,574","1,363,665","1,369,530","1,372,812","1,375,468","1,371,375","1,369,920","1,357,432","1,355,343","1,358,002","1,362,406","1,367,121","1,370,560","1,372,703","1,374,217","1,371,861","1,370,913","1,374,269","1,380,460","1,391,472","1,396,979","1,404,594","1,411,484","1,414,272","1,413,642","1,413,403","1,412,555","1,414,068","1,417,650","1,418,792","1,421,069","1,418,414","1,417,947","1,413,861","1,414,667","1,414,787","1,416,380","1,416,345","1,424,391","1,425,605","1,429,853","1,430,212","1,386,369","1,332,650","1,336,976","1,345,488","1,351,078","1,362,737","1,364,832"
  Less: Receipts from sales of goods and services by nonprofit institutions\3\,"959,234","961,689","961,967","960,468","961,017","960,594","959,012","956,950","956,296","961,151","962,021","965,842","970,612","978,174","985,074","996,604","1,000,487","1,000,023","994,254","994,292","998,262","1,006,044","1,011,021","1,012,962","1,012,878","1,011,071","1,006,370","1,001,400","999,856","1,002,814","1,011,104","1,018,247","1,025,548","1,025,170","1,027,417","1,023,642","1,019,798","1,018,760","1,022,435","1,028,192","1,035,351","1,044,200","1,051,916","1,054,407","1,047,867","1,035,213","1,030,800","1,036,696","1,053,376","1,063,850","1,070,098","1,067,776","1,065,010","1,061,494","1,060,338","1,061,939","1,065,989","1,069,848","1,075,054","1,079,928","1,070,754","1,062,101","863,016","742,291","879,527","966,067","986,594","994,065","1,001,640"
