Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
          Food products not elsewhere classified,138582,137398,138082,137705,137414,137513,138009,137667,137780,136703,138092,138894,139094,139487,138136,139360,140138,140451,140061,140116,140557,141313,141079,141312,142154,142250,142807,142594,142714,144347,144428,144804,146021,145892,145727,147649,147257,147100,147532,147266,149178,147577,148159,148425,148314,148446,149295,147790,151454,147410,150119,150769,151744,151673,153970,153530,152588,152720,152409,153434,153724,151106,184953,157001,161062,160482,161763,158760,160188
        Nonalcoholic beverages purchased for off-premises consumption,87992,87858,88630,87833,88074,88403,88715,88201,89148,88163,89077,89588,89813,90098,89947,90209,91080,91569,90955,90730,91147,91696,91090,91414,92907,91432,92310,92293,91530,92956,92895,93819,94569,94578,95244,96514,95881,96235,96608,96487,97716,96027,96773,96881,96337,96293,97999,96357,97398,95215,96408,97691,97418,98557,99674,99795,98935,99319,98474,98750,98210,98092,115366,96257,98550,99329,101697,100224,100904
          Coffee tea and other beverage materials,15303,15301,15352,15252,15429,15433,15437,15446,15641,15550,15728,15672,15736,15789,15796,15944,15977,16129,16055,16083,16058,16245,16101,16223,16346,16109,16295,16300,16211,16345,16385,16720,16712,16616,16839,16760,16974,16988,16912,17037,17182,16988,17097,17122,17129,17112,17388,16961,17512,17122,17365,17435,17466,17398,17700,17700,17595,17666,17510,17729,17821,17620,21714,18745,19244,18977,19419,18990,19086
          Mineral waters soft drinks and vegetable juices,72694,72563,73283,72586,72654,72977,73283,72764,73517,72626,73364,73924,74085,74318,74161,74280,75112,75453,74914,74665,75103,75468,75004,75210,76573,75336,76029,76009,75336,76623,76525,77123,77872,77972,78420,79756,78925,79262,79703,79466,80545,79056,79691,79775,79232,79205,80633,79407,79929,78135,79089,80286,79990,81172,81997,82116,81365,81678,80989,81062,80450,80513,93803,77717,79528,80522,82449,81381,81962
      Alcoholic beverages purchased for off-premises consumption,120619,121046,122549,121734,122180,122939,123756,123675,124006,122579,123832,125061,123864,125660,124963,125939,127108,127991,128373,128346,129502,128822,129617,127168,128941,129051,129544,130322,130864,131104,130821,131628,131979,133121,133224,133633,135114,134764,135809,135576,136655,135126,136011,135970,136405,136734,137421,135489,136945,135327,137409,137883,137812,138454,138946,139186,138987,139374,140546,140646,140755,140676,165833,148111,157300,157851,157749,158567,158632
        Spirits,26698,26822,27320,27070,27105,27464,27666,27626,27666,27450,27652,27939,27686,28047,27890,28069,28445,28726,28817,28873,29247,28875,29120,28432,29060,29032,29083,29483,29637,29586,29692,29892,29952,30186,30355,30494,30868,30961,31265,31260,31342,31164,31223,31079,31367,31508,31662,31181,31358,30994,31405,31570,31712,31763,31870,32046,32070,32417,32676,32555,32655,32837,38434,34743,37423,37366,37506,37919,37464
        Wine,38523,38620,39047,38894,39147,39525,39820,39891,40034,39520,39929,40493,40012,40526,40528,40954,41397,41694,41904,41916,42230,42193,42653,41878,42343,42517,42711,42929,43380,43451,43220,43612,43755,44035,43896,43930,44422,44208,44604,44294,44961,44434,44766,44868,44911,44933,45167,44493,45004,44611,45159,45167,44917,45257,45590,45568,45406,45597,45938,46462,46723,46812,55259,49775,52754,52722,52684,52943,53150
        Beer,55408,55615,56192,55781,55942,55971,56293,56184,56333,55636,56277,56661,56196,57113,56580,56955,57312,57619,57705,57614,58083,57815,57918,56930,57611,57583,57830,57998,57956,58170,58011,58237,58385,59006,59075,59307,59926,59701,60055,60124,60465,59649,60138,60139,60247,60411,60712,59927,60689,59838,60948,61242,61271,61526,61591,61678,61613,61488,62057,61784,61561,61242,72375,63889,67478,68075,67887,68055,68345
      Food produced and consumed on farms ,579,623,618,617,611,608,622,599,614,618,607,611,590,586,587,573,559,554,546,541,545,557,540,502,491,469,473,471,468,460,460,463,459,461,456,459,466,463,451,469,470,472,484,496,493,482,476,468,473,481,474,475,496,490,496,491,505,487,477,483,466,499,496,553,547,540,540,540,541
    Clothing and footwear,362867,366223,366605,365502,371086,367592,369815,369068,371609,370055,370701,371003,374423,378528,375824,374721,374997,380833,377870,380172,380889,377337,372181,378133,380906,375494,378556,382273,381397,383871,380175,383260,384392,382182,391433,393304,388960,391945,384938,389309,399962,393348,401489,403657,400371,405050,412734,393461,401084,399993,409044,413315,415347,414290,414544,411801,410180,420452,414687,418890,415049,411981,300782,228550,320806,405004,399449,391360,422625
      Garments,286329,289003,289276,288535,292628,290034,291854,291457,292616,291406,291779,291203,294934,297569,295903,294971,294160,297768,295742,298655,299224,297154,292699,297944,300070,295282,297005,300528,300572,302928,299453,300691,301610,300069,307605,309167,304958,306994,302792,304569,312454,307294,314550,318156,312570,315208,321163,305939,313246,311541,319125,322216,324148,323861,323989,322143,321491,331814,327377,330281,327597,324955,235950,182940,250357,311968,313526,311367,331423
        Women's and girls' clothing (10),170558,172810,174089,172878,175566,174508,175015,174624,176026,175602,175672,176039,177343,178418,176590,177237,175907,177351,177430,180562,180080,177845,175240,178514,180404,177766,176363,179096,179795,180985,178435,179194,180873,179154,183988,185378,182155,182330,181169,182522,186531,185152,191151,192419,189405,192101,196585,187043,189492,190164,195563,196724,197756,197589,197322,196002,197582,204817,200393,201338,200368,197730,141491,109496,150773,191579,195105,194210,205870
        Men's and boys' clothing (11),97547,97352,96698,97287,98447,97434,98640,99151,98760,98032,98555,96961,99131,100607,100884,99013,99409,100990,99476,99320,100135,100168,98796,100593,100720,98795,101478,102316,101568,102509,101742,102023,102281,102144,104068,104200,103539,105116,102816,103279,106836,104046,104838,106972,104606,104500,105771,101047,105098,103097,105181,106793,107761,107438,107479,107024,104899,107603,107756,109430,108039,107932,77813,59995,82604,101793,100371,99253,106010
        Children's and infants' clothing (12),18206,18833,18492,18359,18608,18092,18187,17679,17831,17775,17556,18225,18455,18532,18417,18719,18836,19429,18830,18789,19016,19147,18662,18830,18938,18718,19178,19120,19211,19435,19278,19475,18444,18759,19537,19578,19245,19533,18777,18738,19062,18087,18569,18763,18560,18638,18871,17905,18639,18330,18479,18768,18702,18901,19236,19156,19155,19604,19327,19572,19269,19321,16635,13408,16906,18778,18466,18358,19964
      Other clothing materials and footwear (13 and 17),76565,77252,77363,77006,78488,77595,78002,77663,79007,78664,78929,79773,79512,80947,79933,79754,80791,82982,82058,81490,81640,80196,79474,80211,80853,80202,81510,81732,80851,80993,80737,82529,82742,82084,83811,84125,83951,84888,82147,84663,87413,85956,86874,85545,87676,89668,91389,87333,87724,88277,89772,90934,91052,90313,90433,89555,88626,88756,87435,88698,87571,87123,64793,45923,70280,92425,85891,80388,91127
        Clothing materials,4182,4153,4118,4057,4106,4138,4046,4122,4113,3923,3980,3903,3966,4030,4066,4312,4261,4339,4148,4138,4429,4128,3958,4023,4371,4321,4538,4670,4778,4791,4635,4556,4727,4595,4668,4736,4455,4551,4586,4625,4673,4472,4609,4772,4673,4583,4545,4306,4317,4245,4103,4288,4390,4308,4251,4420,4447,4503,4372,4556,4416,4441,4275,3699,4870,5590,5361,4596,4926
        Standard clothing issued to military personnel,361,373,383,391,398,403,406,408,409,408,406,402,397,393,388,386,383,380,376,374,372,371,370,371,370,371,372,373,373,372,372,373,374,375,377,379,381,383,386,388,390,393,396,399,402,405,408,412,415,422,425,427,426,428,429,430,431,432,432,433,432,433,433,433,434,434,432,433,443
        Shoes and other footwear,72032,72732,72867,72561,73986,73061,73550,73139,74486,74324,74537,75455,75138,76512,75474,75070,76154,78266,77521,76965,76860,75692,75128,75802,76125,75522,76625,76727,75759,75888,75771,77624,77679,77144,78794,79040,79130,79969,77201,79670,82365,81098,81880,80400,82615,84685,86434,82613,82989,83606,85246,86218,86235,85577,85751,84705,83751,83826,82634,83719,82727,82255,60138,41849,65045,86456,80159,75433,85874
    Gasoline and other energy goods,447499,453871,447199,449264,447615,447812,451473,450410,455183,451155,447971,450406,453873,457236,459014,455896,454154,451547,449159,449702,455180,436694,449178,453208,436132,447955,451508,450023,455367,454635,450274,451377,451090,448579,444567,452476,453911,434546,454445,445543,449480,449985,449193,446718,439524,444163,448848,447256,449224,446407,444301,451180,443414,445628,442605,449285,442372,447716,444406,432630,442503,442766,378640,290327,348504,387079,397927,402749,409887
      Motor vehicle fuels lubricants and fluids (59),416935,416980,417474,420993,420903,420763,424103,422780,426849,423102,423497,426035,424382,426756,433393,426632,425046,423835,422020,422842,429065,410654,424113,426339,411366,422755,425474,423815,427437,427272,422856,424181,424668,423602,417729,423783,423237,410251,429872,417867,423412,425268,423711,422261,415077,419484,424561,422379,423366,421011,418207,426546,419055,420389,417727,424452,418279,424114,419015,409890,421264,419579,354230,262562,317510,358542,370048,375448,380398
        Gasoline and other motor fuel,409147,409566,410240,413904,414094,414063,417522,416371,420458,416831,417256,419862,418314,420348,427268,420725,419042,417795,415954,416765,422891,404721,417957,420135,405352,416535,419172,417489,421023,420785,416367,417619,418013,416925,411053,416935,416317,403438,422700,410853,416267,418050,416488,415046,407980,412312,417291,415220,416232,413890,411127,419375,411998,413314,410698,417331,411279,417060,411946,403003,414196,412515,348239,258098,312138,352503,363811,369140,374007
        Lubricants and fluids,7997,7750,7627,7552,7361,7284,7222,7093,7110,7008,6995,6978,6912,7120,7029,6847,6889,6901,6905,6919,7025,6738,6976,7020,6789,7002,7072,7075,7155,7200,7168,7222,7287,7293,7254,7410,7458,7307,7680,7497,7623,7686,7681,7666,7539,7618,7717,7627,7617,7591,7545,7660,7535,7555,7506,7612,7489,7564,7541,7358,7555,7541,6383,4743,5721,6446,6656,6742,6831
      Fuel oil and other fuels (29),30431,36152,29674,28320,26783,27104,27425,27701,28415,28116,24414,24207,29623,30563,25408,29293,29108,27621,27026,26735,25949,25911,24875,26752,24611,25040,25913,26103,27853,27280,27336,27115,26322,24854,26758,28600,30483,24205,24499,27497,25958,24641,25377,24383,24358,24593,24238,24793,25729,25292,25961,24551,24288,25162,24802,24762,24032,23561,25319,22682,21108,23042,24528,28168,31411,28753,27983,27332,29630
        Fuel oil,28549,33918,27675,26561,25071,25363,25709,26083,26810,26608,23084,23072,28379,29419,24366,28036,27760,26275,25779,25448,24691,24557,23581,25312,23276,23767,24572,24777,26501,25995,26111,25794,24952,23538,25249,26953,28550,22728,23010,25798,24370,23083,23760,22796,22784,22927,22628,23339,24220,23751,24371,23015,22774,23604,23258,23221,22515,22061,23684,21250,19725,21692,23366,27167,30496,27746,26913,26182,28497
        Other fuels,1973,2344,2053,1845,1782,1809,1796,1730,1736,1662,1457,1326,1537,1507,1304,1536,1584,1545,1469,1486,1448,1510,1446,1587,1467,1436,1502,1497,1557,1500,1465,1518,1530,1460,1635,1772,2018,1560,1574,1788,1675,1628,1687,1646,1635,1710,1659,1553,1614,1628,1677,1610,1589,1638,1621,1618,1587,1565,1699,1497,1428,1438,1347,1361,1418,1388,1398,1425,1479
    Other nondurable goods,972514,970355,977237,977651,983327,987669,996540,1002074,1002905,1003848,1008616,1012794,1009842,1015560,1013664,1015958,1019670,1026499,1021848,1020384,1013682,1016246,1017820,1021446,1030085,1031516,1038655,1045254,1044369,1049566,1048182,1050435,1059379,1059783,1070347,1073321,1069112,1073304,1073542,1079809,1086373,1079920,1087463,1092599,1097647,1104493,1117298,1090315,1118603,1129983,1134667,1133637,1143295,1152502,1154573,1157004,1157824,1156041,1152678,1148842,1160459,1167427,1230929,1130065,1198385,1231891,1239544,1240825,1256563
      Pharmaceutical and other medical products (40 and 41),407193,404019,408213,408588,411596,414498,418393,421506,421492,424611,425316,426040,423067,424804,421793,420902,422815,423790,419301,417820,414132,414669,417055,418881,421623,423176,425956,430857,430708,430678,427177,425052,431459,433731,433623,433450,431871,432996,432372,435765,435167,433408,441304,442502,445262,449762,451842,452454,458180,465969,469762,464335,469600,474372,476845,478988,481115,478165,478924,477093,482662,489607,520759,473717,481416,492893,500078,502726,508442
        Pharmaceutical products,401943,398779,402949,403335,406361,409168,412969,416040,416113,419130,419794,420449,417476,419151,416129,415201,417107,418016,413602,412052,408350,408935,411300,413083,415847,417399,420173,425020,424898,424853,421233,419086,425515,427785,427617,427435,425947,427027,426265,429603,429066,427324,435226,436368,439136,443596,445522,446434,451883,459620,463310,457974,463218,467979,470345,472497,474574,471646,472465,470612,476096,483027,514466,468351,475550,486590,493327,495839,501370
          Prescription drugs,338316,335646,338817,339516,342481,344160,347730,350601,350147,353385,353601,353339,350235,351065,348199,347136,348964,349445,345013,343699,340563,341079,343327,344792,347114,348488,351228,355610,355946,355413,352011,349195,354339,356804,356213,355886,354270,355288,354777,357672,356357,355663,362583,363028,365152,369885,370740,373663,376230,383557,386897,381678,386486,390877,392962,396058,397687,394365,395888,393525,397892,404197,429613,392311,396323,404648,408873,412429,417457
          Nonprescription drugs,63661,63165,64196,63846,63865,65068,65258,65426,66007,65706,66191,67207,67415,68343,68235,68413,68456,68929,69071,68840,68280,68345,68411,68736,69181,69345,69299,69707,69170,69750,69602,70478,71819,71507,72030,72215,72427,72462,72183,72607,73583,72355,73271,74088,74782,74274,75516,73027,76356,76578,76869,76924,77264,77546,77802,76594,77062,77640,76750,77449,78626,79126,85388,76229,79927,82875,85731,84330,84740
        Other medical products,5257,5249,5271,5258,5237,5335,5434,5475,5381,5489,5532,5607,5612,5676,5692,5736,5741,5812,5736,5815,5839,5784,5803,5850,5820,5818,5819,5871,5840,5858,6005,6034,5994,5991,6062,6073,5970,6020,6184,6241,6171,6154,6129,6191,6175,6213,6387,6040,6348,6393,6504,6409,6423,6428,6545,6531,6584,6565,6495,6523,6612,6614,6215,5233,5800,6284,6791,6945,7151
      Recreational items (parts of 80 92 and 93),165371,167004,167237,167814,170028,170666,172800,173210,173086,171724,174495,175663,175237,177790,179194,181662,182847,184598,186060,185057,184768,186714,185940,186781,189881,189850,192139,194270,193582,196127,197903,198991,201962,200619,204803,205755,208341,208493,208878,210031,211219,209539,208296,211180,212239,215121,218244,206256,218582,219438,221191,223846,224080,226201,225864,227428,226927,229550,226694,223478,231640,232127,245828,220403,258159,273929,270604,269437,272809
        Games toys and hobbies,74677,76678,76857,76832,77550,77815,78297,79124,79704,79747,81031,82814,83239,85420,85050,85873,86481,88342,88812,88682,89370,91244,90871,92352,94562,94357,95841,97639,97324,98998,100872,101726,102639,101848,104655,106331,108601,109072,112785,113377,116159,113796,110250,112497,114635,115595,118995,107536,120110,120938,122672,125405,128028,129606,131260,130699,130227,131598,131137,127117,135348,137727,148363,133471,165509,180469,177888,175927,177916
        Pets and related products,58967,59315,58759,59124,60659,60942,62127,62017,62276,61955,63337,62970,62853,62796,63355,62591,62761,63291,63190,62957,63077,63826,63333,63001,64002,63966,64521,65147,64704,65237,64889,66026,66537,66513,67289,68353,67940,67452,67847,66955,67818,67170,67821,68596,68325,69140,69355,67410,69351,68420,69007,68906,68150,68924,69043,69266,69077,68837,68473,68244,68727,67944,74133,66961,74836,78624,77738,76967,78620
        Flowers seeds and potted plants,31193,30695,31329,31493,31428,31499,31903,31702,30818,29877,30035,30029,29451,30083,31072,33400,33819,33441,34483,33903,33084,32682,32781,32755,32872,33020,33375,33306,33373,33871,34442,33695,35076,34506,35360,34052,35108,35379,32991,34403,32848,33491,34001,34251,34096,35049,35307,34386,34883,35815,35612,36412,35875,35880,34615,35948,36001,37497,35903,35804,37284,37171,35987,31536,35924,36382,35944,36788,36717
